name,category,lowest_rate,plus_rate,pro_rate,signup_bonus,daily_checkin_bonus,checkin_mode,balance,url,invite_url,notes,usage_status,checked_at
CC API,收费站,0.001,0.1,0.18,1.0,,无签到,,https://api.xiebc.cc/register?aff=URAWBLAZNHXX,https://api.xiebc.cc/register?aff=URAWBLAZNHXX,,,2026-09-20T09:02:41
CTAI,收费站,0.001,0.1,0.2,5.0,,无签到,,https://ai.chengtingkj.com/register?aff=JXKKW7D26JGP,https://ai.chengtingkj.com/register?aff=JXKKW7D26JGP,,,2026-09-20T09:02:41
AI Gateway,收费站,0.02,0.05,0.15,,,无签到,,,,,,2026-09-20T09:02:41
aimi-api,收费站,0.02,0.15,0.2,0.0001,,无签到,,https://api.58aimi.cn/sign-up?aff=whwN,https://api.58aimi.cn/sign-up?aff=whwN,GitHub登录,,2026-09-20T09:02:41
可可兔,收费站,0.02,,,0.3,,无签到,,https://zymlzt.online/register?aff=95WKX34UY2Q2,https://zymlzt.online/register?aff=95WKX34UY2Q2,不能用,,2026-09-20T09:02:41
算力中心,收费站,0.029,0.12,0.17,0.3,,无签到,,https://aiapi.c0c.cc/register?aff=3XD65U37ECSM,https://aiapi.c0c.cc/register?aff=3XD65U37ECSM,,,2026-09-20T09:02:41
HE BOX,收费站,0.03,,,,,无签到,,https://ai.hebox.net/register?aff=yX3y,https://ai.hebox.net/register?aff=yX3y,,,2026-09-20T09:02:41
云枢AI,收费站,0.032258,0.032258,0.03871,2.26,,无签到,,https://yunshuapi.site/sign-up?aff=bgtk,https://yunshuapi.site/sign-up?aff=bgtk,,,2026-09-20T09:02:41
mdjk,收费站,0.035,0.035,0.15,,,无签到,,https://mdkj.lol/register?aff=6LN2GHNTMBNQ,https://mdkj.lol/register?aff=6LN2GHNTMBNQ,特惠 0.03; plus 0.05; pro 0.12、0.15,,2026-09-20T09:02:41
BUZZ,收费站,0.04,0.04,0.06,,,无签到,,https://buzzai.cc/register?aff=3nLkSIRE,https://buzzai.cc/register?aff=3nLkSIRE,,,2026-09-20T09:02:41
要和气呀,收费站,0.04,0.07,0.25,,,无签到,,https://yaoheqi.xyz/register?aff=4FPVJJZYQC6E,https://yaoheqi.xyz/register?aff=4FPVJJZYQC6E,,,2026-09-20T09:02:41
Supe Ai,收费站,0.04,0.08,0.09,0.03,,无签到,,https://supeai.cc/register?aff=EBBSEK5EX7ME,https://supeai.cc/register?aff=EBBSEK5EX7ME,,,2026-09-20T09:02:41
Orbelis,收费站,0.04,0.1,0.2,1.0,,无签到,,https://nova.vcrauo.com/sign-up?aff=9t4g,https://nova.vcrauo.com/sign-up?aff=9t4g,,,2026-09-20T09:02:41
DonkAPI,收费站,0.04,0.11,0.16,,,无签到,,https://www.donkapi.xyz/sign-up?aff=Kuda,https://www.donkapi.xyz/sign-up?aff=Kuda,,,2026-09-20T09:02:41
Pixel API,收费站,0.04,0.12,0.2,,,无签到,,https://ai-pixel.online/register?aff=5YJV99SLPL8J,https://ai-pixel.online/register?aff=5YJV99SLPL8J,k12 福利分组 0.04; plus 0.1,,2026-09-20T09:02:41
Hly Router,收费站,0.04,,0.08,1.0,,无签到,,https://www.hlyrouter.top/sign-up?aff=l5cf,https://www.hlyrouter.top/sign-up?aff=l5cf,,,2026-09-20T09:02:41
S3AI API,收费站,0.045,0.1,0.15,0.01,,无签到,,https://ai.furry.vg/sign-up?aff=FUao,https://ai.furry.vg/sign-up?aff=FUao,,,2026-09-20T09:02:41
启悟流,收费站,0.049,0.098,0.199,,,无签到,,https://756777.xyz/register?aff=4BADNXGX59K7,https://756777.xyz/register?aff=4BADNXGX59K7,,,2026-09-20T09:02:41
Nini-API,收费站,0.05,0.05,0.15,5.0,,无签到,,https://x1.ninijoker-api.com/sign-up?aff=GH2o,https://x1.ninijoker-api.com/sign-up?aff=GH2o,,,2026-09-20T09:02:41
kwxxxllmの小站,收费站,0.05,0.08,,,,无签到,,https://xn--wnu.xn--xft85u.gay/sign-up?aff=gByS,https://xn--wnu.xn--xft85u.gay/sign-up?aff=gByS,,,2026-09-20T09:02:41
TT api,收费站,0.05,0.0875,0.1875,0.63,,无签到,,https://wqdsjhaoai.site/sign-up?aff=NB1R,https://wqdsjhaoai.site/sign-up?aff=NB1R,,,2026-09-20T09:02:41
Kun,收费站,0.05,0.09,0.13,0.0,,无签到,,,,,,2026-09-20T09:02:41
真香API,收费站,0.05,0.09,,,,无签到,,https://zxiang.dxmcs.xin/sign-up?aff=Ig7W,https://zxiang.dxmcs.xin/sign-up?aff=Ig7W,,,2026-09-20T09:02:41
